model,feature,p_value,actual_mean_importance,null_mean_importance,r2_mean,r2_variance,mae_mean,mae_variance
RandomForest_RFE,original_shape2D_Elongation,4.4146893463719633e-17,0.03131119046279304,0.061562470586783574,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_MajorAxisLength,1.330274998711606e-11,0.009541904514576247,0.030967478806070575,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_MeshSurface,4.5628399897284026e-14,0.005386236750005653,0.027181553059130274,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_MinorAxisLength,6.70243743287757e-17,0.024481675154667818,0.052415243599980864,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_Perimeter,0.16497238412043233,0.024295735792137712,0.02189417304806679,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_PerimeterSurfaceRatio,2.6429844354267208e-23,0.14626144759980325,0.03938990096228193,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_shape2D_Sphericity,9.091610900055431e-10,0.07870440130096357,0.05439605812650427,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_10Percentile,0.0005251307983490976,0.04147104078381082,0.029433329409275687,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_90Percentile,9.393573118110792e-05,0.030130895297762497,0.037837298741988754,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_Energy,1.747244202704262e-18,0.0321768993135355,0.06690679124790584,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_InterquartileRange,2.7527862451901494e-11,0.0296988173730188,0.04777355786453285,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_Kurtosis,4.221645642749422e-12,0.07775648055398725,0.0478020474774072,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
RandomForest_RFE,original_firstorder_Maximum,2.973308265494917e-11,0.037906962708897936,0.05809506551443631,0.2012633587872751,0.08511433456182091,0.1305851406170261,0.0010003722101655343
