Feature_Set,Model,R2_Score,RMSE,MAE
All Features,RandomForest,-2.125064130331823,0.15363926613523288,0.13686536041311545
All Features,MLPRegressor,-0.4218519088066557,0.10363344605938808,0.09587573142580286
RFE Selected,RandomForest,-2.6219406890601205,0.16540301594458123,0.14484956869531315
RFE Selected,MLPRegressor,-3.4751744845513626,0.1838559729826289,0.16367745522366572
Threshold > 0.01,RandomForest,-2.0631068423191232,0.1521086212350792,0.13513444741273642
Threshold > 0.01,MLPRegressor,-0.5008357632830656,0.10647296347494989,0.0962941775408525
Top-10 Features,RandomForest,-1.9588024868805007,0.14949640343044632,0.13086276275640596
Top-10 Features,MLPRegressor,-4.809560638585147,0.20948088576724272,0.1845899865576278
