model,feature,mean_importance,var_importance,mean_r2,var_r2,mean_mae,var_mae,n_folds_selected,selection_frequency
DecisionTree,original_firstorder_10Percentile,0.0434421217235643,0.0007501345541392312,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,21,0.75
DecisionTree,original_firstorder_90Percentile,0.034315744171379496,0.000980491844158927,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,16,0.5714285714285714
DecisionTree,original_firstorder_Energy,0.021184188480674316,0.0007658882914624686,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,11,0.39285714285714285
DecisionTree,original_firstorder_InterquartileRange,0.0,0.0,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,0,0.0
DecisionTree,original_firstorder_Kurtosis,0.10094526686565798,0.000316463880576959,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,28,1.0
DecisionTree,original_firstorder_Maximum,0.04390959680126576,0.0008604002484735987,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,20,0.7142857142857143
DecisionTree,original_firstorder_MeanAbsoluteDeviation,0.001578105462395292,6.973167181237202e-05,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,1,0.03571428571428571
DecisionTree,original_firstorder_Minimum,0.015033251968366936,0.0005964353010633484,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,8,0.2857142857142857
DecisionTree,original_firstorder_RootMeanSquared,0.08753837869886963,0.00011209004130022911,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,28,1.0
DecisionTree,original_firstorder_Skewness,0.03268713022632125,0.0008669328473485936,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,16,0.5714285714285714
DecisionTree,original_gldm_DependenceNonUniformityNormalized,0.12574494404163056,0.000911941626286998,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,28,1.0
DecisionTree,original_gldm_DependenceVariance,0.005234749189017089,0.00023703227120947724,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,3,0.10714285714285714
DecisionTree,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.005348968657260032,0.0002515516988184436,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,3,0.10714285714285714
DecisionTree,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.06111742888857844,0.0010367247199073687,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,24,0.8571428571428571
DecisionTree,original_glrlm_LongRunEmphasis,0.014201345510816593,0.0005478359071537293,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,8,0.2857142857142857
DecisionTree,original_glrlm_RunEntropy,0.01659521676947923,0.0007391261374522672,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,8,0.2857142857142857
DecisionTree,original_glrlm_RunLengthNonUniformityNormalized,0.014221974031514968,0.0006485201067238616,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,7,0.25
DecisionTree,original_ngtdm_Contrast,0.05549336774223025,0.0006567319885207498,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,24,0.8571428571428571
DecisionTree,original_shape2D_Elongation,0.031353205867497395,0.0007938048255026769,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,16,0.5714285714285714
DecisionTree,original_shape2D_MajorAxisLength,0.008066664458783008,0.00040910764316567726,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,4,0.14285714285714285
DecisionTree,original_shape2D_MeshSurface,0.002076070263095763,0.00012068189664469426,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,1,0.03571428571428571
DecisionTree,original_shape2D_MinorAxisLength,0.005691093628190383,0.00028756898613122836,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,3,0.10714285714285714
DecisionTree,original_shape2D_Perimeter,0.0037299575142229965,0.00018793036325328986,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,2,0.07142857142857142
DecisionTree,original_shape2D_PerimeterSurfaceRatio,0.1608436645489563,0.0008101382764668044,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,28,1.0
DecisionTree,original_shape2D_Sphericity,0.10964756449023205,0.00010650600351518143,-0.6721197288502526,0.4746533575773621,0.16777587666665839,0.000692027674318762,28,1.0
RandomForest,original_firstorder_10Percentile,0.06458700389629338,2.653160291671344e-05,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,28,1.0
RandomForest,original_firstorder_90Percentile,0.029881390663064406,0.0008036664429492614,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,15,0.5357142857142857
RandomForest,original_firstorder_Energy,0.04113266817371609,0.0005855698516892079,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,21,0.75
RandomForest,original_firstorder_InterquartileRange,0.013981466476442156,0.0006089349267824724,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,7,0.25
RandomForest,original_firstorder_Kurtosis,0.10292343056518792,3.555200947140378e-05,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,28,1.0
RandomForest,original_firstorder_Maximum,0.06133535834068402,5.210573386388594e-06,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,28,1.0
RandomForest,original_firstorder_MeanAbsoluteDeviation,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_firstorder_Minimum,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_firstorder_RootMeanSquared,0.07928740070770432,2.3345003510206124e-05,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,28,1.0
RandomForest,original_firstorder_Skewness,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_gldm_DependenceNonUniformityNormalized,0.10911501727236829,0.00016572274035973143,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,28,1.0
RandomForest,original_gldm_DependenceVariance,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.07591319804176458,4.900275279050792e-05,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,28,1.0
RandomForest,original_glrlm_LongRunEmphasis,0.059205993509656336,0.00030299489788474524,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,26,0.9285714285714286
RandomForest,original_glrlm_RunEntropy,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_glrlm_RunLengthNonUniformityNormalized,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_ngtdm_Contrast,0.05906884214801304,3.879205351832506e-06,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,28,1.0
RandomForest,original_shape2D_Elongation,0.02958212056804154,0.0007873136467305783,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,15,0.5357142857142857
RandomForest,original_shape2D_MajorAxisLength,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_shape2D_MeshSurface,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_shape2D_MinorAxisLength,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_shape2D_Perimeter,0.0,0.0,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,0,0.0
RandomForest,original_shape2D_PerimeterSurfaceRatio,0.16938278984652774,0.00018252255338786855,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,28,1.0
RandomForest,original_shape2D_Sphericity,0.10460331979053618,4.295138887144877e-05,0.19179561169793602,0.08519478864124984,0.13119867017634065,0.001030344731958226,28,1.0
