model,fold,feature,importance,r2,mae
RandomForest,0,original_shape2D_Elongation,0.05372095192113287,0.4914323649471578,0.13467875428200798
RandomForest,0,original_shape2D_MajorAxisLength,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_shape2D_MeshSurface,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_shape2D_MinorAxisLength,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_shape2D_Perimeter,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_shape2D_PerimeterSurfaceRatio,0.17159493821029428,0.4914323649471578,0.13467875428200798
RandomForest,0,original_shape2D_Sphericity,0.09902868299800632,0.4914323649471578,0.13467875428200798
RandomForest,0,original_firstorder_10Percentile,0.06735752913047688,0.4914323649471578,0.13467875428200798
RandomForest,0,original_firstorder_90Percentile,0.05851540416810229,0.4914323649471578,0.13467875428200798
RandomForest,0,original_firstorder_Energy,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_firstorder_InterquartileRange,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_firstorder_Kurtosis,0.10165876753345555,0.4914323649471578,0.13467875428200798
RandomForest,0,original_firstorder_Maximum,0.06242625796501081,0.4914323649471578,0.13467875428200798
RandomForest,0,original_firstorder_MeanAbsoluteDeviation,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_firstorder_Minimum,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_firstorder_RootMeanSquared,0.0774334425038439,0.4914323649471578,0.13467875428200798
RandomForest,0,original_firstorder_Skewness,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_glrlm_LongRunEmphasis,0.06023565349712703,0.4914323649471578,0.13467875428200798
RandomForest,0,original_glrlm_RunEntropy,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_glrlm_RunLengthNonUniformityNormalized,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_gldm_DependenceNonUniformityNormalized,0.11193050784046281,0.4914323649471578,0.13467875428200798
RandomForest,0,original_gldm_DependenceVariance,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0,0.4914323649471578,0.13467875428200798
RandomForest,0,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.07349867983836471,0.4914323649471578,0.13467875428200798
RandomForest,0,original_ngtdm_Contrast,0.06259918439372267,0.4914323649471578,0.13467875428200798
RandomForest,1,original_shape2D_Elongation,0.054745586656617634,0.4294471510836789,0.10194653374904185
RandomForest,1,original_shape2D_MajorAxisLength,0.0,0.4294471510836789,0.10194653374904185
RandomForest,1,original_shape2D_MeshSurface,0.0,0.4294471510836789,0.10194653374904185
