feature,p_value,n_thresholds_actual,n_thresholds_null,actual_mean,null_mean,mean_r2,mean_mae
original_shape2D_PerimeterSurfaceRatio_slope_t24_t48,0.3453711488737803,3,75,-0.000818594649899751,0.0008860494289547205,,0.13596141547516663
original_shape2D_MinorAxisLength_std,0.4405362719577774,2,75,0.21768945455551147,0.3318737617135048,,0.13596141547516663
original_shape2D_Sphericity_delta_t48_t72,0.5171373632870304,21,1681,-0.022978967210898798,-0.0676250706940938,,0.13596141547516663
original_shape2D_MeshSurface_delta_t24_t48,0.5193824609286939,4,234,0.09877085220068693,0.0851474140261292,,0.13596141547516663
original_gldm_DependenceVariance_slope_t48_t72,0.5287713414473887,18,676,0.01249091032271584,0.014355639625373765,,0.13596141547516663
original_firstorder_Maximum_delta_t0_t24,0.5392982336004666,2,15,0.1464443989098072,0.20977681387836736,,0.13596141547516663
original_firstorder_Maximum_t24,0.5465969151352994,2,69,-0.20690704137086868,-0.12032160918781723,,0.13596141547516663
original_firstorder_Maximum_t48,0.5588419939785383,5,1337,0.017035439051687716,-0.002683624673966338,,0.13596141547516663
original_glrlm_LongRunEmphasis_slope_t0_t24,0.582679429911731,26,2480,-0.00608101648685988,-0.007172369599943669,,0.13596141547516663
original_glrlm_RunEntropy_delta_t0_t24,0.5888872352681042,2,157,0.2779712062329054,-0.09371244647557948,,0.13596141547516663
original_shape2D_Sphericity_slope_t24_t48,0.6131821059371613,11,99,-0.020111503248864956,-0.020911206983484334,,0.13596141547516663
original_firstorder_Maximum_slope_t0_t24,0.6480760846505211,2,26,0.0030972689455666114,0.004640473346416212,,0.13596141547516663
original_firstorder_InterquartileRange_t24,0.6675433290823629,2,157,-0.27027589827775955,-0.1307076558494454,,0.13596141547516663
original_firstorder_Maximum_std,0.6691017014947522,6,417,0.3024330834547679,0.3167755765308865,,0.13596141547516663
original_shape2D_Sphericity_delta_t24_t48,0.6718072844698348,4,71,-0.47626031935214996,-0.5004213243053938,,0.13596141547516663
original_firstorder_InterquartileRange_delta,0.6869933479312624,2,151,0.46532335598021746,0.120635526052781,,0.13596141547516663
original_shape2D_Sphericity_t48,0.7919308714503669,2,213,-0.3579219877719879,-0.33431548102509595,,0.13596141547516663
original_firstorder_RootMeanSquared_t48,0.8141002096718036,2,396,-0.04232562705874443,-0.03572749493130944,,0.13596141547516663
original_firstorder_Kurtosis_t72,0.8266263303526641,19,1581,-0.2539703559718634,-0.26660675639351433,,0.13596141547516663
original_shape2D_MeshSurface_t48,0.8841489825305293,2,105,-0.07989463955163956,-0.08357790888597567,,0.13596141547516663
original_gldm_SmallDependenceHighGrayLevelEmphasis_t72,0.9363281146988534,11,1573,0.2794867552478205,0.2893049352200203,,0.13596141547516663
terminal_timepoint,,0,0,,,,0.13596141547516663
original_shape2D_Elongation_t0,,1,197,0.5230129957199097,0.0009090981521846982,,0.13596141547516663
original_shape2D_Elongation_t24,,0,75,,0.1989135313530763,,0.13596141547516663
original_shape2D_Elongation_t48,,1,100,-0.2985931634902954,-0.18481511702702846,,0.13596141547516663
original_shape2D_Elongation_t72,,1,32,-0.2724016606807709,-0.36173304758267477,,0.13596141547516663
original_shape2D_Elongation_delta,,0,33,,-0.5787507187236439,,0.13596141547516663
original_shape2D_Elongation_slope,,1,72,-0.009415906853973866,-0.006758693062389891,,0.13596141547516663
original_shape2D_Elongation_std,,1,150,0.18292449414730072,0.2638837005198002,,0.13596141547516663
original_shape2D_Elongation_delta_t0_t24,,0,171,,-0.06020243302510496,,0.13596141547516663
original_shape2D_Elongation_slope_t0_t24,,0,277,,0.0013966179165055316,,0.13596141547516663
original_shape2D_Elongation_delta_t24_t48,,1,82,-0.29811058938503265,-0.43167285400828936,,0.13596141547516663
original_shape2D_Elongation_slope_t24_t48,,0,217,,-0.013818018262938185,,0.13596141547516663
original_shape2D_Elongation_delta_t48_t72,,0,47,,-0.2806923338707457,,0.13596141547516663
original_shape2D_Elongation_slope_t48_t72,,0,192,,-0.005520592620390137,,0.13596141547516663
original_shape2D_MajorAxisLength_t0,,0,100,,0.2232994532585144,,0.13596141547516663
