feature,n_folds_selected,selection_frequency
original_shape2D_MajorAxisLength_mean,28,1.0
original_shape2D_MajorAxisLength_std,28,1.0
original_firstorder_Minimum_std,28,1.0
original_shape2D_Elongation_mean,28,1.0
original_firstorder_Kurtosis_t72,28,1.0
original_firstorder_Kurtosis_t48,28,1.0
original_firstorder_Kurtosis_mean,28,1.0
original_gldm_SmallDependenceLowGrayLevelEmphasis_mean,27,0.9642857142857143
original_shape2D_MeshSurface_t72,27,0.9642857142857143
original_shape2D_Elongation_t0,27,0.9642857142857143
original_firstorder_Minimum_t0,26,0.9285714285714286
original_firstorder_InterquartileRange_t72,26,0.9285714285714286
original_firstorder_Energy_t0,25,0.8928571428571429
original_gldm_DependenceNonUniformityNormalized_t24,24,0.8571428571428571
original_shape2D_Sphericity_std,23,0.8214285714285714
original_glrlm_LongRunEmphasis_t0,21,0.75
original_shape2D_Perimeter_std,21,0.75
original_firstorder_90Percentile_t24,21,0.75
original_firstorder_MeanAbsoluteDeviation_std,19,0.6785714285714286
original_shape2D_PerimeterSurfaceRatio_delta_t48_t72,19,0.6785714285714286
original_shape2D_Perimeter_t72,19,0.6785714285714286
original_shape2D_MinorAxisLength_t72,18,0.6428571428571429
original_firstorder_10Percentile_mean,18,0.6428571428571429
original_firstorder_Kurtosis_std,17,0.6071428571428571
original_glrlm_RunEntropy_t48,17,0.6071428571428571
original_firstorder_Maximum_slope_t0_t24,15,0.5357142857142857
original_shape2D_PerimeterSurfaceRatio_slope_t48_t72,15,0.5357142857142857
original_firstorder_Maximum_delta_t24_t48,14,0.5
original_gldm_DependenceNonUniformityNormalized_std,14,0.5
original_ngtdm_Contrast_t0,14,0.5
original_firstorder_InterquartileRange_std,14,0.5
original_shape2D_Perimeter_delta_t48_t72,13,0.4642857142857143
original_firstorder_10Percentile_t24,13,0.4642857142857143
original_shape2D_Perimeter_mean,13,0.4642857142857143
original_glrlm_LongRunEmphasis_t24,13,0.4642857142857143
original_shape2D_MeshSurface_slope,12,0.42857142857142855
original_firstorder_10Percentile_t0,12,0.42857142857142855
original_shape2D_Perimeter_slope_t48_t72,12,0.42857142857142855
original_firstorder_Maximum_delta_t0_t24,12,0.42857142857142855
original_shape2D_Sphericity_slope_t24_t48,12,0.42857142857142855
original_ngtdm_Contrast_mean,10,0.35714285714285715
original_shape2D_MeshSurface_delta,10,0.35714285714285715
original_shape2D_Sphericity_delta_t24_t48,10,0.35714285714285715
original_shape2D_Sphericity_t48,10,0.35714285714285715
original_firstorder_90Percentile_delta_t24_t48,8,0.2857142857142857
original_shape2D_PerimeterSurfaceRatio_mean,7,0.25
original_shape2D_PerimeterSurfaceRatio_t0,7,0.25
original_gldm_SmallDependenceLowGrayLevelEmphasis_std,7,0.25
original_shape2D_MajorAxisLength_slope_t24_t48,6,0.21428571428571427
original_shape2D_Perimeter_t48,6,0.21428571428571427
original_firstorder_Maximum_slope_t24_t48,6,0.21428571428571427
original_glrlm_LongRunEmphasis_std,6,0.21428571428571427
original_gldm_SmallDependenceHighGrayLevelEmphasis_t24,5,0.17857142857142858
original_firstorder_90Percentile_slope_t24_t48,5,0.17857142857142858
original_firstorder_InterquartileRange_t0,5,0.17857142857142858
original_shape2D_MajorAxisLength_slope,5,0.17857142857142858
original_shape2D_Elongation_std,4,0.14285714285714285
original_shape2D_MajorAxisLength_delta,4,0.14285714285714285
original_firstorder_Energy_delta,4,0.14285714285714285
original_firstorder_10Percentile_t72,3,0.10714285714285714
original_shape2D_MajorAxisLength_t72,3,0.10714285714285714
original_firstorder_Maximum_t48,3,0.10714285714285714
original_shape2D_MinorAxisLength_mean,3,0.10714285714285714
original_shape2D_Perimeter_slope,3,0.10714285714285714
original_gldm_SmallDependenceLowGrayLevelEmphasis_t24,3,0.10714285714285714
original_shape2D_MinorAxisLength_t24,3,0.10714285714285714
original_firstorder_Minimum_slope_t24_t48,2,0.07142857142857142
original_shape2D_MajorAxisLength_t0,2,0.07142857142857142
original_firstorder_Kurtosis_t24,2,0.07142857142857142
original_ngtdm_Contrast_slope,2,0.07142857142857142
original_firstorder_Energy_slope,2,0.07142857142857142
original_firstorder_Maximum_t24,2,0.07142857142857142
original_ngtdm_Contrast_delta,2,0.07142857142857142
original_firstorder_90Percentile_mean,2,0.07142857142857142
original_firstorder_Minimum_t72,2,0.07142857142857142
original_glrlm_RunEntropy_delta,2,0.07142857142857142
original_glrlm_LongRunEmphasis_delta,2,0.07142857142857142
original_gldm_DependenceVariance_t0,2,0.07142857142857142
original_firstorder_Skewness_t48,2,0.07142857142857142
original_shape2D_MajorAxisLength_delta_t24_t48,1,0.03571428571428571
original_shape2D_MajorAxisLength_t24,1,0.03571428571428571
original_glrlm_RunEntropy_t72,1,0.03571428571428571
original_shape2D_Sphericity_t72,1,0.03571428571428571
original_firstorder_Skewness_mean,1,0.03571428571428571
original_glrlm_RunEntropy_std,1,0.03571428571428571
original_glrlm_RunEntropy_t0,1,0.03571428571428571
original_shape2D_Perimeter_t0,1,0.03571428571428571
original_shape2D_MeshSurface_t0,1,0.03571428571428571
original_firstorder_InterquartileRange_delta_t48_t72,1,0.03571428571428571
original_firstorder_Energy_std,1,0.03571428571428571
original_shape2D_MeshSurface_delta_t48_t72,1,0.03571428571428571
original_firstorder_Kurtosis_t0,1,0.03571428571428571
original_firstorder_10Percentile_t48,1,0.03571428571428571
original_shape2D_Perimeter_delta,1,0.03571428571428571
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta_t24_t48,1,0.03571428571428571
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t24_t48,1,0.03571428571428571
original_shape2D_Elongation_t72,1,0.03571428571428571
original_shape2D_Elongation_t48,1,0.03571428571428571
original_gldm_DependenceVariance_delta_t0_t24,0,0.0
original_gldm_DependenceVariance_slope_t0_t24,0,0.0
original_gldm_DependenceVariance_delta_t24_t48,0,0.0
original_gldm_DependenceVariance_slope_t24_t48,0,0.0
original_gldm_DependenceVariance_delta_t48_t72,0,0.0
original_gldm_DependenceVariance_slope_t48_t72,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_t0,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_t48,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_t72,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_slope,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_mean,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_std,0,0.0
original_ngtdm_Contrast_delta_t48_t72,0,0.0
original_shape2D_Elongation_slope_t48_t72,0,0.0
original_ngtdm_Contrast_std,0,0.0
original_ngtdm_Contrast_delta_t0_t24,0,0.0
original_ngtdm_Contrast_slope_t0_t24,0,0.0
original_ngtdm_Contrast_delta_t24_t48,0,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t0_t24,0,0.0
original_shape2D_Elongation_delta_t48_t72,0,0.0
original_shape2D_Elongation_slope_t24_t48,0,0.0
original_shape2D_Elongation_delta_t24_t48,0,0.0
original_shape2D_Elongation_slope_t0_t24,0,0.0
original_shape2D_Elongation_delta_t0_t24,0,0.0
original_shape2D_PerimeterSurfaceRatio_slope_t0_t24,0,0.0
original_shape2D_PerimeterSurfaceRatio_delta_t24_t48,0,0.0
original_shape2D_Sphericity_delta_t48_t72,0,0.0
original_shape2D_Sphericity_slope_t48_t72,0,0.0
original_firstorder_10Percentile_delta,0,0.0
original_firstorder_10Percentile_slope,0,0.0
original_firstorder_10Percentile_std,0,0.0
original_firstorder_10Percentile_delta_t0_t24,0,0.0
original_shape2D_Perimeter_slope_t24_t48,0,0.0
original_shape2D_MeshSurface_mean,0,0.0
original_shape2D_MeshSurface_std,0,0.0
original_shape2D_MeshSurface_delta_t0_t24,0,0.0
original_shape2D_MeshSurface_slope_t0_t24,0,0.0
original_shape2D_MeshSurface_delta_t24_t48,0,0.0
original_shape2D_MeshSurface_slope_t24_t48,0,0.0
original_shape2D_MeshSurface_slope_t48_t72,0,0.0
original_shape2D_MinorAxisLength_t0,0,0.0
original_firstorder_10Percentile_slope_t0_t24,0,0.0
original_firstorder_10Percentile_delta_t24_t48,0,0.0
original_firstorder_10Percentile_slope_t24_t48,0,0.0
original_shape2D_PerimeterSurfaceRatio_delta_t0_t24,0,0.0
original_shape2D_MeshSurface_t48,0,0.0
original_firstorder_InterquartileRange_t24,0,0.0
original_firstorder_10Percentile_delta_t48_t72,0,0.0
original_firstorder_10Percentile_slope_t48_t72,0,0.0
original_firstorder_90Percentile_t0,0,0.0
original_firstorder_90Percentile_t48,0,0.0
original_firstorder_90Percentile_t72,0,0.0
original_firstorder_90Percentile_delta,0,0.0
original_firstorder_90Percentile_slope,0,0.0
original_firstorder_90Percentile_std,0,0.0
original_firstorder_90Percentile_delta_t0_t24,0,0.0
original_firstorder_90Percentile_slope_t0_t24,0,0.0
original_firstorder_90Percentile_delta_t48_t72,0,0.0
original_firstorder_90Percentile_slope_t48_t72,0,0.0
original_firstorder_Energy_t24,0,0.0
original_firstorder_Energy_t48,0,0.0
original_firstorder_Energy_t72,0,0.0
original_firstorder_Energy_mean,0,0.0
original_firstorder_Energy_delta_t0_t24,0,0.0
original_firstorder_Energy_slope_t0_t24,0,0.0
original_firstorder_Energy_delta_t24_t48,0,0.0
original_firstorder_Energy_slope_t24_t48,0,0.0
original_firstorder_Energy_delta_t48_t72,0,0.0
original_firstorder_Energy_slope_t48_t72,0,0.0
original_firstorder_Maximum_t72,0,0.0
original_firstorder_Maximum_delta,0,0.0
original_firstorder_Maximum_slope,0,0.0
original_firstorder_InterquartileRange_t48,0,0.0
original_firstorder_InterquartileRange_delta,0,0.0
original_firstorder_InterquartileRange_slope,0,0.0
original_firstorder_InterquartileRange_mean,0,0.0
original_firstorder_InterquartileRange_delta_t0_t24,0,0.0
original_firstorder_InterquartileRange_slope_t0_t24,0,0.0
original_firstorder_InterquartileRange_delta_t24_t48,0,0.0
original_firstorder_InterquartileRange_slope_t24_t48,0,0.0
original_firstorder_InterquartileRange_slope_t48_t72,0,0.0
original_firstorder_MeanAbsoluteDeviation_t0,0,0.0
original_firstorder_MeanAbsoluteDeviation_t24,0,0.0
original_firstorder_MeanAbsoluteDeviation_t48,0,0.0
original_firstorder_MeanAbsoluteDeviation_t72,0,0.0
original_firstorder_MeanAbsoluteDeviation_delta,0,0.0
original_firstorder_MeanAbsoluteDeviation_slope,0,0.0
original_firstorder_MeanAbsoluteDeviation_mean,0,0.0
original_firstorder_Kurtosis_delta,0,0.0
original_firstorder_Kurtosis_slope,0,0.0
original_firstorder_Kurtosis_delta_t0_t24,0,0.0
original_firstorder_Kurtosis_slope_t0_t24,0,0.0
original_firstorder_Kurtosis_delta_t24_t48,0,0.0
original_firstorder_Kurtosis_slope_t24_t48,0,0.0
original_firstorder_Kurtosis_delta_t48_t72,0,0.0
original_shape2D_MinorAxisLength_slope_t0_t24,0,0.0
original_shape2D_MinorAxisLength_delta_t24_t48,0,0.0
original_shape2D_PerimeterSurfaceRatio_slope_t24_t48,0,0.0
original_shape2D_Sphericity_t0,0,0.0
original_shape2D_Sphericity_t24,0,0.0
original_shape2D_Sphericity_delta,0,0.0
original_shape2D_Sphericity_slope,0,0.0
original_shape2D_Sphericity_mean,0,0.0
original_shape2D_Sphericity_delta_t0_t24,0,0.0
original_shape2D_Sphericity_slope_t0_t24,0,0.0
original_shape2D_Perimeter_delta_t0_t24,0,0.0
original_shape2D_Perimeter_slope_t0_t24,0,0.0
original_shape2D_Perimeter_delta_t24_t48,0,0.0
original_firstorder_Kurtosis_slope_t48_t72,0,0.0
original_firstorder_Maximum_t0,0,0.0
original_firstorder_MeanAbsoluteDeviation_slope_t48_t72,0,0.0
original_firstorder_Minimum_t24,0,0.0
original_firstorder_Minimum_t48,0,0.0
original_firstorder_Minimum_delta,0,0.0
original_firstorder_Minimum_slope,0,0.0
original_firstorder_Minimum_mean,0,0.0
original_firstorder_Minimum_delta_t0_t24,0,0.0
original_firstorder_Minimum_slope_t0_t24,0,0.0
original_firstorder_Maximum_mean,0,0.0
original_firstorder_Maximum_std,0,0.0
original_firstorder_Maximum_delta_t48_t72,0,0.0
original_firstorder_Maximum_slope_t48_t72,0,0.0
original_firstorder_RootMeanSquared_t24,0,0.0
original_firstorder_RootMeanSquared_t48,0,0.0
original_firstorder_RootMeanSquared_t72,0,0.0
original_firstorder_RootMeanSquared_delta,0,0.0
original_firstorder_RootMeanSquared_slope,0,0.0
original_firstorder_RootMeanSquared_mean,0,0.0
original_firstorder_RootMeanSquared_std,0,0.0
original_firstorder_RootMeanSquared_delta_t0_t24,0,0.0
original_firstorder_RootMeanSquared_slope_t0_t24,0,0.0
original_firstorder_RootMeanSquared_delta_t24_t48,0,0.0
original_firstorder_RootMeanSquared_slope_t24_t48,0,0.0
original_firstorder_MeanAbsoluteDeviation_delta_t0_t24,0,0.0
original_firstorder_MeanAbsoluteDeviation_slope_t0_t24,0,0.0
original_firstorder_MeanAbsoluteDeviation_delta_t24_t48,0,0.0
original_firstorder_MeanAbsoluteDeviation_slope_t24_t48,0,0.0
original_firstorder_MeanAbsoluteDeviation_delta_t48_t72,0,0.0
original_firstorder_Skewness_t72,0,0.0
original_firstorder_Skewness_delta,0,0.0
original_firstorder_Skewness_slope,0,0.0
original_firstorder_Skewness_std,0,0.0
original_firstorder_Skewness_delta_t0_t24,0,0.0
original_firstorder_Skewness_slope_t0_t24,0,0.0
original_firstorder_Skewness_delta_t24_t48,0,0.0
original_firstorder_Skewness_slope_t24_t48,0,0.0
original_firstorder_Skewness_delta_t48_t72,0,0.0
original_firstorder_Skewness_slope_t48_t72,0,0.0
original_firstorder_Minimum_delta_t24_t48,0,0.0
original_firstorder_Minimum_delta_t48_t72,0,0.0
original_firstorder_Minimum_slope_t48_t72,0,0.0
original_firstorder_RootMeanSquared_t0,0,0.0
original_glrlm_LongRunEmphasis_slope,0,0.0
original_glrlm_LongRunEmphasis_mean,0,0.0
original_glrlm_LongRunEmphasis_delta_t0_t24,0,0.0
original_glrlm_LongRunEmphasis_slope_t0_t24,0,0.0
original_glrlm_LongRunEmphasis_delta_t24_t48,0,0.0
original_glrlm_LongRunEmphasis_slope_t24_t48,0,0.0
original_glrlm_LongRunEmphasis_delta_t48_t72,0,0.0
original_glrlm_LongRunEmphasis_slope_t48_t72,0,0.0
original_glrlm_RunEntropy_t24,0,0.0
original_firstorder_RootMeanSquared_delta_t48_t72,0,0.0
original_firstorder_RootMeanSquared_slope_t48_t72,0,0.0
original_firstorder_Skewness_t0,0,0.0
original_firstorder_Skewness_t24,0,0.0
original_glrlm_RunEntropy_mean,0,0.0
original_glrlm_RunEntropy_delta_t0_t24,0,0.0
original_glrlm_RunEntropy_slope_t0_t24,0,0.0
original_glrlm_RunEntropy_delta_t24_t48,0,0.0
original_glrlm_RunEntropy_slope_t24_t48,0,0.0
original_glrlm_RunEntropy_delta_t48_t72,0,0.0
original_glrlm_RunEntropy_slope_t48_t72,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_t0,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_t24,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_t48,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_t72,0,0.0
original_glrlm_LongRunEmphasis_t48,0,0.0
original_ngtdm_Contrast_t72,0,0.0
original_shape2D_PerimeterSurfaceRatio_t24,0,0.0
original_shape2D_PerimeterSurfaceRatio_t48,0,0.0
original_shape2D_PerimeterSurfaceRatio_t72,0,0.0
original_shape2D_PerimeterSurfaceRatio_delta,0,0.0
original_shape2D_PerimeterSurfaceRatio_slope,0,0.0
original_shape2D_PerimeterSurfaceRatio_std,0,0.0
original_shape2D_MinorAxisLength_delta,0,0.0
original_shape2D_MinorAxisLength_slope,0,0.0
original_shape2D_MinorAxisLength_std,0,0.0
original_shape2D_MinorAxisLength_delta_t0_t24,0,0.0
original_glrlm_LongRunEmphasis_t72,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta_t48_t72,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_slope_t48_t72,0,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis_t0,0,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis_t48,0,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis_t72,0,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta,0,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope,0,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta_t0_t24,0,0.0
original_gldm_DependenceNonUniformityNormalized_t72,0,0.0
original_gldm_DependenceNonUniformityNormalized_delta,0,0.0
original_gldm_DependenceNonUniformityNormalized_slope,0,0.0
original_glrlm_RunEntropy_slope,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_delta,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_slope,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_mean,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_std,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_delta_t0_t24,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_slope_t0_t24,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_delta_t24_t48,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_slope_t24_t48,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_delta_t48_t72,0,0.0
original_glrlm_RunLengthNonUniformityNormalized_slope_t48_t72,0,0.0
original_gldm_DependenceNonUniformityNormalized_t0,0,0.0
original_gldm_DependenceNonUniformityNormalized_t48,0,0.0
original_shape2D_MinorAxisLength_t48,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta_t24_t48,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_slope_t24_t48,0,0.0
original_gldm_DependenceNonUniformityNormalized_mean,0,0.0
original_gldm_DependenceNonUniformityNormalized_delta_t0_t24,0,0.0
original_gldm_DependenceNonUniformityNormalized_slope_t0_t24,0,0.0
original_gldm_DependenceNonUniformityNormalized_delta_t24_t48,0,0.0
original_gldm_DependenceNonUniformityNormalized_slope_t24_t48,0,0.0
original_gldm_DependenceNonUniformityNormalized_delta_t48_t72,0,0.0
original_gldm_DependenceNonUniformityNormalized_slope_t48_t72,0,0.0
original_gldm_DependenceVariance_t24,0,0.0
original_gldm_DependenceVariance_t48,0,0.0
original_gldm_DependenceVariance_t72,0,0.0
original_gldm_DependenceVariance_delta,0,0.0
original_gldm_DependenceVariance_slope,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta_t0_t24,0,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis_slope_t0_t24,0,0.0
original_shape2D_MinorAxisLength_slope_t24_t48,0,0.0
original_shape2D_MinorAxisLength_delta_t48_t72,0,0.0
original_shape2D_MinorAxisLength_slope_t48_t72,0,0.0
original_shape2D_Perimeter_t24,0,0.0
original_shape2D_MajorAxisLength_slope_t48_t72,0,0.0
original_shape2D_MeshSurface_t24,0,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta_t48_t72,0,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis_slope_t48_t72,0,0.0
original_ngtdm_Contrast_t24,0,0.0
original_ngtdm_Contrast_t48,0,0.0
original_gldm_DependenceVariance_mean,0,0.0
original_gldm_DependenceVariance_std,0,0.0
original_shape2D_Elongation_delta,0,0.0
original_shape2D_MajorAxisLength_t48,0,0.0
original_ngtdm_Contrast_slope_t48_t72,0,0.0
terminal_timepoint,0,0.0
original_shape2D_MajorAxisLength_delta_t0_t24,0,0.0
original_shape2D_MajorAxisLength_slope_t0_t24,0,0.0
original_shape2D_MajorAxisLength_delta_t48_t72,0,0.0
original_ngtdm_Contrast_slope_t24_t48,0,0.0
original_shape2D_Elongation_t24,0,0.0
original_shape2D_Elongation_slope,0,0.0
