model,feature,mean_importance,var_importance,mean_r2,var_r2,mean_mae,var_mae,n_folds_selected,selection_frequency
ExtraTree,original_firstorder_10Percentile,0.05896750393908283,0.000279981312743627,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,26,0.9285714285714286
ExtraTree,original_firstorder_90Percentile,0.019257895259629905,0.0008125035924303937,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,9,0.32142857142857145
ExtraTree,original_firstorder_Energy,0.01061993047956506,0.0005382339921286642,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,5,0.17857142857142858
ExtraTree,original_firstorder_InterquartileRange,0.042749041584061134,0.0007586075341247461,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,20,0.7142857142857143
ExtraTree,original_firstorder_Kurtosis,0.07916270123006593,5.8130013261626795e-06,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,28,1.0
ExtraTree,original_firstorder_Maximum,0.07446782133486707,1.2642595181923908e-05,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,28,1.0
ExtraTree,original_firstorder_MeanAbsoluteDeviation,0.06509044504091809,1.1315229638022242e-05,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,28,1.0
ExtraTree,original_firstorder_Minimum,0.0,0.0,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,0,0.0
ExtraTree,original_firstorder_RootMeanSquared,0.0,0.0,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,0,0.0
ExtraTree,original_firstorder_Skewness,0.0,0.0,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,0,0.0
ExtraTree,original_gldm_DependenceNonUniformityNormalized,0.08949324676868975,1.0352139416111205e-05,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,28,1.0
ExtraTree,original_gldm_DependenceVariance,0.057168954552334325,0.0002642884909164809,0.18889895447100905,0.09031979878714853,0.1311769621268283,0.0011404363141860553,26,0.9285714285714286
