feature,importance
original_firstorder_Kurtosis_t48,0.053387709447402745
original_shape2D_Sphericity_delta_t24_t48,0.04922300456168239
original_firstorder_Kurtosis_mean,0.049017671651159535
original_shape2D_MajorAxisLength_mean,0.048316749275052334
original_firstorder_Skewness_std,0.03491156152349786
original_shape2D_MeshSurface_t72,0.029703205390132645
original_shape2D_MajorAxisLength_t24,0.0296729801412411
original_shape2D_Elongation_slope_t48_t72,0.024018921615436294
original_shape2D_Sphericity_slope_t24_t48,0.022633532402082313
original_shape2D_Sphericity_std,0.01785973643674619
original_ngtdm_Contrast_t0,0.0168807740809982
original_glrlm_LongRunEmphasis_std,0.016367409780863346
original_firstorder_Energy_t0,0.015719729956299985
original_firstorder_Kurtosis_t72,0.015622549721570846
original_firstorder_MeanAbsoluteDeviation_delta,0.014386241091892672
original_firstorder_InterquartileRange_t72,0.014227924256112402
original_firstorder_10Percentile_t24,0.014197159812957074
original_firstorder_90Percentile_t0,0.014079634952726277
original_glrlm_LongRunEmphasis_slope,0.013811694769210322
original_gldm_DependenceVariance_t0,0.013640901574702857
original_ngtdm_Contrast_slope,0.013039584691976414
original_gldm_SmallDependenceHighGrayLevelEmphasis_t0,0.012587159900181387
original_glrlm_RunEntropy_t24,0.012430740706161205
original_firstorder_90Percentile_slope_t24_t48,0.010893885804151961
original_glrlm_LongRunEmphasis_t0,0.010374001258147887
original_gldm_SmallDependenceLowGrayLevelEmphasis_mean,0.009783831676747649
original_shape2D_Sphericity_t48,0.009605653396441
original_shape2D_MinorAxisLength_mean,0.009209807426189631
original_firstorder_InterquartileRange_delta_t0_t24,0.008904259507112867
original_shape2D_Elongation_t0,0.008559635700497436
original_shape2D_Elongation_std,0.008391573074111945
original_gldm_SmallDependenceLowGrayLevelEmphasis_delta,0.008303253985292688
original_firstorder_Maximum_t24,0.008301677714406305
original_glrlm_LongRunEmphasis_t24,0.008072564157679853
original_gldm_SmallDependenceHighGrayLevelEmphasis_delta,0.007812141145061528
original_shape2D_Elongation_t72,0.007712201738868665
