feature,importance
original_shape2D_PerimeterSurfaceRatio,0.14722471125431186
original_firstorder_Kurtosis,0.07631586759798879
original_shape2D_Sphericity,0.0712793933582859
original_gldm_DependenceNonUniformityNormalized,0.06575878867868669
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.061970928849823345
original_glrlm_LongRunEmphasis,0.0579104932910771
original_firstorder_RootMeanSquared,0.045774524372127326
original_firstorder_10Percentile,0.03488736558517094
original_firstorder_Maximum,0.03398191648150748
original_firstorder_Energy,0.03356391535437742
original_firstorder_Minimum,0.03230213129143742
original_firstorder_90Percentile,0.03110236223511406
original_ngtdm_Contrast,0.029693117874693774
original_shape2D_Elongation,0.028572009994483033
original_glrlm_RunEntropy,0.02649446594526501
original_firstorder_Skewness,0.02648111993593645
original_shape2D_MinorAxisLength,0.026262736619999328
original_glrlm_RunLengthNonUniformityNormalized,0.023881898988050827
original_firstorder_InterquartileRange,0.0238622010642686
original_shape2D_MeshSurface,0.0221831911774004
original_firstorder_MeanAbsoluteDeviation,0.021388275426782684
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.020502320791154344
original_shape2D_Perimeter,0.020467866026467847
original_gldm_DependenceVariance,0.019132404066064326
original_shape2D_MajorAxisLength,0.01900599373952522
