Feature_Set,Model,R2_Score,RMSE,MAE
All Features,RandomForest,0.373850118992634,0.15136164954834935,0.12396908202354322
All Features,MLPRegressor,0.29631092677180826,0.16046011701356735,0.13226937852279352
RFE Selected,RandomForest,0.35815338605290814,0.15324712232155568,0.12506240900337406
RFE Selected,MLPRegressor,0.27039367013988524,0.1633883162997814,0.1342558382572135
Threshold > 0.01,RandomForest,0.372475832170176,0.15152766435826037,0.12402504216235437
Threshold > 0.01,MLPRegressor,0.29780232517874283,0.16028998726101615,0.13217105739713095
Top-10 Features,RandomForest,0.36931438204321143,0.15190888100027533,0.12287729212711666
Top-10 Features,MLPRegressor,0.24967339939449829,0.16569212680453088,0.1361628509556584
